stem,niqe_input,niqe_darkir,niqe_miscf,niqe_fftf,niqe_chain,niqe_pipeA_v1,niqe_pipeA,niqe_final,musiq_input,musiq_darkir,musiq_miscf,musiq_fftf,musiq_chain,musiq_pipeA_v1,musiq_pipeA,musiq_final,maniqa_input,maniqa_darkir,maniqa_miscf,maniqa_fftf,maniqa_chain,maniqa_pipeA_v1,maniqa_pipeA,maniqa_final,nrqm_input,nrqm_darkir,nrqm_miscf,nrqm_fftf,nrqm_chain,nrqm_pipeA_v1,nrqm_pipeA,nrqm_final
01_Urban_Light_Trails_Walking_Figure,6.253003371680292,3.890744894871273,5.102817050822526,6.029991135468434,6.06361306473567,5.02675467249832,5.595899717224798,,22.467636108398438,19.385093688964844,21.55590057373047,26.465129852294922,27.37911605834961,42.09149932861328,43.962745666503906,,0.3234732747077942,0.35715368390083313,0.3971327245235443,0.2845371663570404,0.3021020293235779,0.30478397011756897,0.31864920258522034,,6.875960350036621,6.841399192810059,6.880542755126953,2.45729660987854,2.8727755546569824,6.398102283477783,6.721981048583984,
02_Red_Sign_Reflections_Blurred_Glass,6.121878243619003,6.026837907121439,6.382056479190134,9.42280593217668,9.23380771517458,8.639480189265496,8.2725544279611,,22.737483978271484,21.520933151245117,23.233909606933594,19.732166290283203,17.980194091796875,23.342662811279297,24.48832893371582,,0.16081903874874115,0.17146819829940796,0.17068937420845032,0.22695930302143097,0.20874223113059998,0.18811728060245514,0.18355369567871094,,6.295445442199707,5.693506240844727,6.376025199890137,2.623659372329712,2.479462146759033,2.185485363006592,1.9637852907180786,
03_Dim_Night_Market_Food_Alley,4.953384725165068,4.436464963714439,3.875025291451415,5.773955092443986,5.479000892261438,5.424341259312208,5.618124371040658,,17.852365493774414,19.828289031982422,18.100383758544922,23.523151397705078,21.134281158447266,28.638221740722656,33.38713455200195,,0.12802056968212128,0.15624597668647766,0.17009073495864868,0.19161714613437653,0.19486579298973083,0.20143432915210724,0.22011959552764893,,6.382029056549072,6.4186553955078125,6.464175701141357,4.6161322593688965,4.327444076538086,6.262418746948242,6.938684463500977,
04_Cyclist_Passing_Warm_Storefront_Lights,6.127484700287297,4.2373653052169775,5.166684215810043,6.827272658295312,6.1560266344673105,4.866738433268927,4.798773731862265,,18.6881160736084,19.61878204345703,19.032644271850586,17.907455444335938,17.81240463256836,21.82008934020996,23.932552337646484,,0.16640157997608185,0.23798467218875885,0.1683911234140396,0.2143068164587021,0.2429744452238083,0.22012044489383698,0.23005124926567078,,6.055650234222412,6.359193801879883,6.067116737365723,2.8626668453216553,3.5722553730010986,5.012923240661621,6.404138565063477,
05_Red_Taxi_Through_City_Lights,5.2945771363791785,5.589204442795244,5.58687678456794,7.951160131002506,8.06521299958157,7.428605642862515,7.288019857564521,,23.828187942504883,25.64035415649414,25.275876998901367,18.08759117126465,17.579763412475586,22.478851318359375,25.338430404663086,,0.17848634719848633,0.17346738278865814,0.1948924958705902,0.15202848613262177,0.1424558013677597,0.1355644017457962,0.1438826024532318,,4.400420188903809,3.6607248783111572,4.133719444274902,2.7859702110290527,2.644240140914917,2.946369171142578,3.316784381866455,
06_Shaking_Neon_Signs_Overhead_Night,6.75441063252293,6.055489438748092,7.374359612605323,8.646339009883985,8.411753574577379,8.19024707343422,8.028924449629544,,26.399486541748047,22.377717971801758,26.96681022644043,19.722469329833984,19.194732666015625,22.341161727905273,23.18202781677246,,0.22140935063362122,0.2212911993265152,0.236841082572937,0.19513355195522308,0.1855916827917099,0.17843766510486603,0.18228726089000702,,5.529494762420654,5.1670613288879395,5.136127948760986,2.4149186611175537,2.5911548137664795,2.5898666381835938,2.8026247024536133,
07_Yellow_Taxi_Neon_Rain_Street,4.376173089261037,4.240554519711582,4.303999715329998,6.420596518993527,6.110739962057317,5.971968487938485,5.778402695903412,,45.045753479003906,41.68394088745117,45.84648895263672,35.164642333984375,30.69369888305664,38.678524017333984,40.288692474365234,,0.21659794449806213,0.21563516557216644,0.23590749502182007,0.23914062976837158,0.23310835659503937,0.23679421842098236,0.24022093415260315,,6.2469258308410645,6.172324180603027,5.900618553161621,3.213937759399414,3.330632448196411,3.229163885116577,3.305884838104248,
08_KFC_Rider_Rainy_Night_Delivery,4.64419281177449,4.864843568075692,4.869995181480939,6.641836764192679,6.50395692728652,6.589714100525029,6.607833878940528,6.708402410502922,29.178482055664062,31.264291763305664,31.718708038330078,29.59478187561035,31.919231414794922,32.062408447265625,32.988372802734375,32.324310302734375,0.15852293372154236,0.16067741811275482,0.17556308209896088,0.16412121057510376,0.17907026410102844,0.15782220661640167,0.16260431706905365,0.16563579440116882,4.629563808441162,4.014774322509766,4.3839430809021,3.468522548675537,3.5570199489593506,3.7220659255981445,3.719559669494629,3.6962640285491943
09_White_Truck_Zoom_Blur_Rain,4.031193807684351,3.33333965842735,3.922557316669136,6.6224412595936615,6.4440780916246165,5.871732914223505,5.603017767542244,5.383536078109741,25.022069931030273,27.293258666992188,25.66798973083496,22.39068031311035,22.621021270751953,27.620586395263672,30.99675178527832,36.41069030761719,0.12872229516506195,0.15656301379203796,0.1445833444595337,0.12415538728237152,0.12642993032932281,0.13380640745162964,0.13511143624782562,0.1366855949163437,6.793060302734375,6.850125312805176,6.772688865661621,3.1811554431915283,3.206077814102173,4.152766227722168,4.734010696411133,5.097336769104004
10_Crowded_Night_Market_Face_Glow,4.820317792936245,3.991219548594675,4.4974815718271435,5.391484153437348,5.632057048722155,5.911536019089237,6.16071328443564,,19.248641967773438,20.124780654907227,18.782676696777344,21.670570373535156,22.26456069946289,23.670068740844727,24.98277473449707,,0.03571116924285889,0.05994199588894844,0.03743426129221916,0.07438281178474426,0.09389162808656693,0.08628317713737488,0.09483601897954941,,6.5568060874938965,6.3368377685546875,6.574063301086426,4.069547176361084,4.435250759124756,4.134768486022949,4.98490047454834,
11_Fumachi_Night_Market_Ghost_Crowd,2.3382646601217068,3.291454362809623,2.400957924689442,5.455730678435752,5.35049687637905,4.733860932288179,4.825782337641853,,56.243553161621094,54.467193603515625,59.71455383300781,34.25355529785156,31.440736770629883,39.173736572265625,45.05596160888672,,0.3151725232601166,0.29085826873779297,0.334675669670105,0.22677955031394958,0.2170170247554779,0.25191813707351685,0.26181259751319885,,6.455498218536377,5.978282928466797,5.995687484741211,3.9787821769714355,3.80553936958313,5.100456237792969,5.566399574279785,
12_Sidewalk_Signage_In_City_Lights,4.548702664962157,3.9278413597057242,4.219519554816593,6.800891367378588,6.085152088568217,6.074117628402917,5.653393386224851,,47.842567443847656,49.80378723144531,50.748390197753906,35.485755920410156,38.62907028198242,48.458316802978516,52.53273010253906,,0.14842964708805084,0.1676916629076004,0.1724468618631363,0.22326837480068207,0.19863848388195038,0.21398787200450897,0.22025547921657562,,5.238026142120361,5.219109535217285,5.300011157989502,4.086118698120117,4.184836387634277,4.355927467346191,4.625585079193115,
13_FamilyMart_Window_Reflections_Night_Traffic,5.994386184294697,3.632702752903989,4.895797158400089,6.6497710175075415,6.540013605077184,6.228010451827736,5.872000494616087,,32.45915222167969,31.578716278076172,33.25894546508789,28.671966552734375,29.004222869873047,41.751502990722656,47.18879699707031,,0.1838921755552292,0.19569262862205505,0.18732739984989166,0.20665892958641052,0.19384676218032837,0.22034135460853577,0.2337225079536438,,6.529607772827148,5.547059059143066,6.500142574310303,2.8930673599243164,2.882147789001465,3.8364901542663574,4.208973407745361,
14_Yellow_Chair_Alley_Motion_Portrait,6.78818539187397,4.844307465877317,5.698417185711913,7.51369452977811,7.440044553817868,5.898916459434087,5.848978775387063,,15.040620803833008,15.24056625366211,15.401604652404785,18.63738250732422,19.94180679321289,24.261829376220703,25.575841903686523,,0.09310511499643326,0.10458221286535263,0.10034188628196716,0.1631620228290558,0.15663936734199524,0.14606887102127075,0.15530158579349518,,5.966457843780518,4.994562149047852,5.596889972686768,2.4811151027679443,2.644990921020508,3.698768377304077,5.589696407318115,
15_Photographer_Reflected_In_Night_Glass,6.642070711144301,6.277692542369318,6.965023200209947,9.608540512880927,8.235361830571565,8.35860036326753,7.533934528472988,,21.31206512451172,30.12493896484375,21.410493850708008,29.39084243774414,26.72948455810547,28.004642486572266,32.1479606628418,,0.15034537017345428,0.16802716255187988,0.16252250969409943,0.22825312614440918,0.1897965371608734,0.20472197234630585,0.19807323813438416,,6.68527889251709,5.937492847442627,6.677989482879639,2.9101779460906982,2.884045124053955,3.228708028793335,2.512535333633423,
