variant,niqe,musiq,maniqa,nrqm,delta_musiq
unsharp 100,6.2955926357823895,30.443780771891277,0.19108648151159285,4.02927417755127,-0.5162192281087243
"pipeA (unsharp 130, baseline)",6.34764164184256,30.959606806437176,0.19201348721981049,4.0569520155588785,-0.00039319356282518925
unsharp 160,6.394101233217314,31.68754908243815,0.19376636147499085,4.13875233332316,0.7275490824381485
unsharp 200,6.451287748222328,32.72631708780924,0.19629603872696558,4.2231207370758055,1.7663170878092416
clahe 2,6.527486991274478,30.107628504435223,0.19214918067057926,3.7845009485880534,-0.8523714955647783
"pipeA (clahe 3, baseline)",6.34764164184256,30.959606806437176,0.19201348721981049,4.0569520155588785,-0.00039319356282518925
clahe 4,6.198752545910861,31.4920223236084,0.19287058015664418,4.218605359395345,0.5320223236083983
clahe 5,6.08623486132924,31.93956731160482,0.19401426017284393,4.346674919128418,0.9795673116048178
